State/UT,DropoutRate,Year,Level,Gender,StartYear
Andaman and Nicobar Islands,3.1,2003-2004,Elementary,Boys,2003
Andhra Pradesh,6.6,2003-2004,Elementary,Boys,2003
Arunachal Pradesh,1.0,2003-2004,Elementary,Boys,2003
Assam,0.2,2003-2004,Elementary,Boys,2003
Bihar,1.3,2003-2004,Elementary,Boys,2003
Chandigarh,7.3,2003-2004,Elementary,Boys,2003
Chhattisgarh,5.6,2003-2004,Elementary,Boys,2003
Dadra and Nagar Haveli,1.8,2003-2004,Elementary,Boys,2003
Daman and Diu,6.4,2003-2004,Elementary,Boys,2003
Delhi,2.2,2003-2004,Elementary,Boys,2003
Goa,2.7,2003-2004,Elementary,Boys,2003
Gujarat,1.3,2003-2004,Elementary,Boys,2003
Haryana,4.2,2003-2004,Elementary,Boys,2003
Himachal Pradesh,5.4,2003-2004,Elementary,Boys,2003
Jammu and Kashmir,5.6,2003-2004,Elementary,Boys,2003
Jharkhand,1.0,2003-2004,Elementary,Boys,2003
Karnataka,5.5,2003-2004,Elementary,Boys,2003
Kerala,6.8,2003-2004,Elementary,Boys,2003
Ladakh,1.2,2003-2004,Elementary,Boys,2003
Lakshadweep,2.3,2003-2004,Elementary,Boys,2003
Madhya Pradesh,7.3,2003-2004,Elementary,Boys,2003
Maharashtra,5.3,2003-2004,Elementary,Boys,2003
Manipur,0.6,2003-2004,Elementary,Boys,2003
Meghalaya,7.1,2003-2004,Elementary,Boys,2003
Mizoram,2.5,2003-2004,Elementary,Boys,2003
Nagaland,4.1,2003-2004,Elementary,Boys,2003
Odisha,4.6,2003-2004,Elementary,Boys,2003
Puducherry,4.3,2003-2004,Elementary,Boys,2003
Punjab,6.3,2003-2004,Elementary,Boys,2003
Rajasthan,6.9,2003-2004,Elementary,Boys,2003
Sikkim,3.4,2003-2004,Elementary,Boys,2003
Tamil Nadu,3.0,2003-2004,Elementary,Boys,2003
Telangana,0.2,2003-2004,Elementary,Boys,2003
Tripura,6.6,2003-2004,Elementary,Boys,2003
Uttar Pradesh,0.3,2003-2004,Elementary,Boys,2003
Uttarakhand,4.9,2003-2004,Elementary,Boys,2003
West Bengal,1.5,2003-2004,Elementary,Boys,2003
All India,1.0,2003-2004,Elementary,Boys,2003
Andaman and Nicobar Islands,1.3,2003-2004,Elementary,Girls,2003
Andhra Pradesh,5.8,2003-2004,Elementary,Girls,2003
Arunachal Pradesh,1.4,2003-2004,Elementary,Girls,2003
Assam,0.2,2003-2004,Elementary,Girls,2003
Bihar,0.1,2003-2004,Elementary,Girls,2003
Chandigarh,1.8,2003-2004,Elementary,Girls,2003
Chhattisgarh,0.1,2003-2004,Elementary,Girls,2003
Dadra and Nagar Haveli,4.4,2003-2004,Elementary,Girls,2003
Daman and Diu,2.1,2003-2004,Elementary,Girls,2003
